,Posição,Clube,Estado,Faturamento,Deficit ou Superavit,Ano
6,7,Grêmio,Rio Grande do Sul,"R$ 143,3 Milhões[109]","R$ -21,0 Milhões[109]",2011
7,8,Vasco,Rio de Janeiro,"R$ 137,1 Milhões[109]","R$ 4,6 Milhões[109]",2011
8,9,Cruzeiro,Minas Gerais,"R$ 128,7 Milhões[109]","R$ -13,1 Milhões[109]",2011
9,10,Atlético Mineiro,Minas Gerais,"R$ 99,8 Milhões[109]","R$ -36,1 Milhões[109]",2011
10,11,Fluminense,Rio de Janeiro,"R$ 80,2 Milhões[109]","R$ -34,1 Milhões[109]",2011
13,14,Botafogo,Rio de Janeiro,"R$ 58,9 Milhões[109]","R$ -166,6 Milhões[109]",2011
0,1,Corinthians,São Paulo,"R$ 212,6 Milhões[114]","R$ 3,6 Milhões[114]",2010
1,2,Internacional,Rio Grande do Sul,"R$ 200,7 Milhões[114]","R$ -2,6 Milhões[114]",2010
2,3,São Paulo,São Paulo,"R$ 195,7 Milhões[114]","R$ 0,4 Milhão[114]",2010
3,4,Palmeiras,São Paulo,"R$ 148,2 Milhões[114]","R$ -25,5 Milhões[114]",2010
4,5,Flamengo,Rio de Janeiro,"R$ 128,5 Milhões[114]","R$ -41,9 Milhões[114]",2010
5,6,Santos,São Paulo,"R$ 116,5 Milhõoes[114]","R$ -8,6 Milhões[114]",2010
6,7,Grêmio,Rio Grande do Sul,"R$ 113,6 Milhões[114]","R$ -29,3 Milhões[114]",2010
7,8,Cruzeiro,Minas Gerais,"R$ 101,3 Milhões[114]","R$ 1,1 Milhão[114]",2010
8,9,Atlético Mineiro,Minas Gerais,"R$ 93,2 Milhões[114]","R$ -19,9 Milhões[114]",2010
9,10,Vasco,Rio de Janeiro,"R$ 83,5 Milhões[114]","R$ -17,7 Milhões[114]",2010
10,11,Fluminense,Rio de Janeiro,"R$ 76,8 Milhões[114]","R$ -41,9 Milhões[114]",2010
12,13,Botafogo,Rio de Janeiro,"R$ 52,6 Milhões[114]","R$ -29,4 Milhões[114]",2010
0,1,Corinthians,São Paulo,"R$ 181,0 Milhões[114]","R$ 5,8 Milhões[114]",2009
1,2,Internacional,Rio Grande do Sul,"R$ 176,1 Milhões[114]","R$ 8,9 Milhões[114]",2009
2,3,São Paulo,São Paulo,"R$ 174,8 Milhões[114]","R$ 0,4 Milhão[114]",2009
3,4,Palmeiras,São Paulo,"R$ 125,0 Milhões[114]","R$ -41,2 Milhões[114]",2009
4,5,Cruzeiro,Minas Gerais,"R$ 121,3 Milhões[114]","R$ -24,4 Milhões[114]",2009
5,6,Flamengo,Rio de Janeiro,"R$ 120,0 Milhões[114]","R$ -31,0 Milhões[114]",2009
6,7,Grêmio,Rio Grande do Sul,"R$ 110,8 Milhões[114]","R$ -9,8 Milhões[114]",2009
7,8,Vasco,Rio de Janeiro,"R$ 84,8 Milhões[114]","R$ -1,7 Milhão[114]",2009
8,9,Santos,São Paulo,"R$ 70,3 Milhõoes[114]","R$ -44,9 Milhões[114]",2009
9,10,Atlético Mineiro,Minas Gerais,"R$ 66,1 Milhões[114]","R$ -23,2 Milhões[114]",2009
11,12,Fluminense,Rio de Janeiro,"R$ 61,2 Milhões[114]","R$ -30,2 Milhões[114]",2009
12,13,Botafogo,Rio de Janeiro,"R$ 45,8 Milhões[114]","R$ -11,0 Milhões[114]",2009
0,1,São Paulo,São Paulo,"R$ 160,5 Milhões[114]","R$ 0,4 Milhão[114]",2008
1,2,Internacional,Rio Grande do Sul,"R$ 142,1 Milhões[114]","R$ -4,4 Milhões[114]",2008
2,3,Palmeiras,São Paulo,"R$ 138,8 Milhões[114]","R$ -9,4 Milhões[114]",2008
3,4,Flamengo,Rio de Janeiro,"R$ 117,9 Milhões[114]","R$ -3,2 Milhões[114]",2008
4,5,Corinthians,São Paulo,"R$ 117,5 Milhões[114]","R$ 10,8 Milhões[114]",2008
5,6,Grêmio,Rio Grande do Sul,"R$ 99,0 Milhões[114]","R$ -10,0 Milhões[114]",2008
6,7,Cruzeiro,Minas Gerais,"R$ 94,0 Milhões[114]","R$ -17,4 Milhões[114]",2008
7,8,Fluminense,Rio de Janeiro,"R$ 66,4 Milhões[114]","R$ -43,2 Milhões[114]",2008
8,9,Santos,São Paulo,"R$ 65,3 Milhõoes[114]","R$ -24,7 Milhões[114]",2008
9,10,Atlético Mineiro,Minas Gerais,"R$ 57,6 Milhões[114]","R$ -36,4 Milhões[114]",2008
10,11,Vasco,Rio de Janeiro,"R$ 52,0 Milhões[114]","R$ -276,8 Milhões[114]",2008
11,12,Botafogo,Rio de Janeiro,"R$ 51,5 Milhões[114]","R$ -10,3 Milhões[114]",2008
